LicenseID,FeeExemptModifierCode
1052643,VOL
1052695,RETI
1052720,RETI
1052728,RETI
1052809,VOL
1052835,RETI
1052841,VOL
1052865,VOL
1052890,RETI
1052907,VOL
1052934,VOL
1052941,RETI
1052952,VOL
1053019,RETI
1053032,RETI
1053040,VOL
1053136,RETI
1053147,RETI
1053175,VOL
1053207,VOL
1053214,RETI
1053236,RETI
1053265,RETI
1053272,MIL
1053288,VOL
1053298,RETI
1053328,RETI
1053400,RETI
1053502,RETI
1053529,VOL
1053534,VOL
1053551,RETI
1053555,VOL
1053606,RETI
1053611,RETI
1053648,RETI
1053656,VOL
1053665,RETI
1053677,VOL
1053691,RETI
1053719,VOL
1053759,RETI
1053770,VOL
1053783,RETI
1053794,RETI
1053835,VOL
1053847,VOL
1053861,VOL
1053868,DIS
1053897,RETI
1053898,RETI
1053919,VOL
1053926,RETI
1053956,RETI
1053975,VOL
1054010,RETI
1054012,VOL
1054127,VOL
1054153,RETI
1054179,VOL
1054198,RETI
1054212,RETI
1054226,RETI
1054229,VOL
1054246,RETI
1054256,VOL
1054259,RETI
1054275,VOL
1054289,RETI
1054290,RETI
1054292,RETI
1054300,VOL
1054315,VOL
1054316,VOL
1054322,VOL
1054329,RETI
1054342,VOL
1054351,RETI
1054380,RETI
1054396,VOL
1054421,RETI
1054443,RETI
1054469,RETI
1054473,VOL
1054480,VOL
1054587,RETI
1054609,RETI
105461,VOL
1054640,RETI
1054695,RETI
1054697,VOL
1054711,VOL
1054748,RETI
1054944,RETI
1054948,RETI
1055109,MIL
1055114,VOL
1055223,VOL
1055302,RETI
1055486,RETI
1055536,RETI
1055658,MIL
1055753,RETI
1055820,RETI
105585,RETI
1055894,MIL
1055933,RETI
105594,VOL
1055962,VOL
105601,RETI
1056141,RETI
1056206,RETI
1056357,RETI
105646,RETI
1056504,RETI
105654,RETI
1056572,RETI
105672,RETI
1056778,RETI
1056801,RETI
1056805,RETI
1056847,RETI
1056866,RETI
1056989,RETI
1057131,RETI
1057180,RETI
1057233,RETI
1057296,VOL
1057394,RETI
105745,VOL
1057466,RETI
1057571,RETI
1057602,RETI
105762,RETI
1057655,VOL
105768,VOL
1057700,RETI
105773,VOL
1057816,VOL
1057824,RETI
1057904,VOL
1057937,RETI
1058008,RETI
1058017,MIL
1058090,VOL
1058139,RETI
1058171,RETI
1058205,RETI
1058361,RETI
1058386,RETI
1058551,RETI
1058575,VOL
1058577,RETI
1058711,VOL
1058773,RETI
105882,DIS
1058848,RETI
1058852,RETI
1058863,RETI
1058879,MIL
1058891,RETI
1058958,RETI
1059234,RETI
1059250,MIL
1059270,RETI
1059324,MIL
1059367,VOL
1059371,RETI
105950,RETI
1059510,MIL
1059531,RETI
1059572,RETI
1059682,RETI
105974,RETI
1059802,RETI
1059905,RETI
1059934,RETI
1059944,RETI
1059965,VOL
106001,VOL
106042,RETI
106111,VOL
106126,RETI
106136,RETI
106181,RETI
106285,RETI
106321,VOL
106329,VOL
106350,VOL
106369,RETI
106398,VOL
106514,VOL
106573,VOL
106589,VOL
106650,RETI
106667,RETI
106694,RETI
106837,VOL
106884,RETI
106896,RETI
106964,VOL
107037,RETI
107122,RETI
107135,RETI
107190,RETI
107319,RETI
107448,RETI
1090032,RETI
1090057,RETI
1090072,RETI
1090077,RETI
1090093,RETI
1090096,RETI
1090119,RETI
1090133,VOL
1090177,RETI
1090203,VOL
1090217,RETI
1090237,RETI
1090244,RETI
1090312,RETI
1090319,RETI
1090324,RETI
1090331,VOL
1090352,RETI
1090381,RETI
1090392,RETI
1090443,RETI
1090458,RETI
1090461,RETI
1090482,RETI
1090499,RETI
1090507,RETI
1090522,RETI
1090535,RETI
1090536,RETI
1090556,VOL
1090563,RETI
1090572,VOL
1090580,RETI
1090597,VOL
1090606,VOL
1090609,RETI
1090646,RETI
1090650,VOL
1090679,RETI
1090699,RETI
1090748,VOL
1090752,RETI
1090758,RETI
1090772,VOL
1090777,RETI
1090810,RETI
1090831,RETI
1090835,RETI
1090841,RETI
1090849,RETI
1090854,VOL
1090885,RETI
1090893,RETI
1090895,RETI
1090917,RETI
1090959,VOL
1090994,RETI
1091067,VOL
1091094,RETI
1091198,RETI
1091223,RETI
1091256,VOL
1091272,RETI
1091328,RETI
1091377,RETI
